Course Title,TermCode,Period,Teacher,Abs1,SISNumber,Grade
Advisory,Q3,1,"Nelson, Matthew",16,712371,P
Advisory,Q3,1,"Nelson, Matthew",6,728189,P
Advisory,Q3,1,"Nelson, Matthew",22,692368,P
Advisory,Q3,1,"Nelson, Matthew",34,800850,NP
Advisory,Q3,1,"Nelson, Matthew",27,816925,P
Advisory,Q3,1,"Nelson, Matthew",36,728288,NP
Advisory,Q3,1,"Nelson, Matthew",3,778724,P
Advisory,Q3,1,"Nelson, Matthew",7,712031,P
Advisory,Q3,1,"Nelson, Matthew",27,723954,NP
Advisory,Q3,1,"Nelson, Matthew",27,713632,P
Advisory,Q3,1,"Nelson, Matthew",1,721061,P
Advisory,Q3,1,"Nelson, Matthew",6,779657,P
Advisory,Q3,1,"Nelson, Matthew",33,823043,NP
Advisory,Q3,1,"Nelson, Matthew",4,825155,P
LA: Creative Writing,Q3,2,"Nelson, Matthew",4,692054,A
LA: Creative Writing,Q3,2,"Nelson, Matthew",26,717118,B
LA: Creative Writing,Q3,2,"Nelson, Matthew",17,714596,A
LA: Creative Writing,Q3,2,"Nelson, Matthew",15,737937,A
LA: Creative Writing,Q3,2,"Nelson, Matthew",2,728182,A
LA: Creative Writing,Q3,2,"Nelson, Matthew",0,795442,B
LA: Creative Writing,Q3,2,"Nelson, Matthew",24,693432,A
LA: Creative Writing,Q3,2,"Nelson, Matthew",10,726325,C
LA: Creative Writing,Q3,2,"Nelson, Matthew",6,732149,A
LA: Creative Writing,Q3,2,"Nelson, Matthew",7,744841,A
LA: Creative Writing,Q3,2,"Nelson, Matthew",23,711017,D
LA: Creative Writing,Q3,2,"Nelson, Matthew",7,828913,
LA: Creative Writing,Q3,2,"Nelson, Matthew",24,788157,A
LA: Creative Writing,Q3,2,"Nelson, Matthew",14,810922,A
LA: Creative Writing,Q3,2,"Nelson, Matthew",35,673215,NG
LA: Creative Writing,Q3,2,"Nelson, Matthew",6,748865,B
LA: Creative Writing,Q3,2,"Nelson, Matthew",11,724528,B
GV: Race & Cultural Studies,Q3,3,"Nelson, Matthew",3,826033,A
GV: Race & Cultural Studies,Q3,3,"Nelson, Matthew",17,680242,C
GV: Race & Cultural Studies,Q3,3,"Nelson, Matthew",1,763282,B
GV: Race & Cultural Studies,Q3,3,"Nelson, Matthew",2,827528,B
GV: Race & Cultural Studies,Q3,3,"Nelson, Matthew",6,751217,A
GV: Race & Cultural Studies,Q3,3,"Nelson, Matthew",26,777027,D
GV: Race & Cultural Studies,Q3,3,"Nelson, Matthew",24,818729,C
GV: Race & Cultural Studies,Q3,3,"Nelson, Matthew",5,828864,A
GV: Race & Cultural Studies,Q3,3,"Nelson, Matthew",9,731461,A
GV: Race & Cultural Studies,Q3,3,"Nelson, Matthew",1,751291,A
EC: Race/Cultural Stud,Q3,3,"Nelson, Matthew",17,648249,B
EC: Race/Cultural Stud,Q3,3,"Nelson, Matthew",35,679322,NG
EC: Race/Cultural Stud,Q3,3,"Nelson, Matthew",5,684890,A
EC: Race/Cultural Stud,Q3,3,"Nelson, Matthew",14,661833,D
EC: Race/Cultural Stud,Q3,3,"Nelson, Matthew",4,749978,A
H: Periodic Functions/Matrices Q3,Q3,4,"Nelson, Matthew",12,648249,C
H: Periodic Functions/Matrices Q3,Q3,4,"Nelson, Matthew",5,768014,D
H: Periodic Functions/Matrices Q3,Q3,4,"Nelson, Matthew",17,680242,D
H: Periodic Functions/Matrices Q3,Q3,4,"Nelson, Matthew",7,656290,B
H: Periodic Functions/Matrices Q3,Q3,4,"Nelson, Matthew",11,679761,D
H: Periodic Functions/Matrices Q3,Q3,4,"Nelson, Matthew",23,818729,D
H: Periodic Functions/Matrices Q3,Q3,4,"Nelson, Matthew",9,713632,B
H: Periodic Functions/Matrices Q3,Q3,4,"Nelson, Matthew",7,715259,A
H: Periodic Functions/Matrices Q3,Q3,4,"Nelson, Matthew",9,691442,B
H: Periodic Functions/Matrices Q3,Q3,4,"Nelson, Matthew",1,711337,C
LA: Creative Writing,Q3,6,"Nelson, Matthew",14,648249,C
LA: Creative Writing,Q3,6,"Nelson, Matthew",7,741902,A
LA: Creative Writing,Q3,6,"Nelson, Matthew",4,814881,A
LA: Creative Writing,Q3,6,"Nelson, Matthew",21,720886,B
LA: Creative Writing,Q3,6,"Nelson, Matthew",9,728189,A
LA: Creative Writing,Q3,6,"Nelson, Matthew",23,748113,NG
LA: Creative Writing,Q3,6,"Nelson, Matthew",19,680242,D
LA: Creative Writing,Q3,6,"Nelson, Matthew",25,679322,D
LA: Creative Writing,Q3,6,"Nelson, Matthew",25,800850,C
LA: Creative Writing,Q3,6,"Nelson, Matthew",6,712031,C
LA: Creative Writing,Q3,6,"Nelson, Matthew",9,828864,A
LA: Creative Writing,Q3,6,"Nelson, Matthew",10,687288,A
LA: Creative Writing,Q3,6,"Nelson, Matthew",31,681181,C
LA: Creative Writing,Q3,6,"Nelson, Matthew",1,711337,C
LA: Creative Writing,Q3,6,"Nelson, Matthew",22,823043,D
H: Periodic Functions/Matrices Q3,Q3,7,"Nelson, Matthew",3,826033,C
H: Periodic Functions/Matrices Q3,Q3,7,"Nelson, Matthew",4,711545,A
H: Periodic Functions/Matrices Q3,Q3,7,"Nelson, Matthew",5,684890,A
H: Periodic Functions/Matrices Q3,Q3,7,"Nelson, Matthew",23,687735,NG
H: Periodic Functions/Matrices Q3,Q3,7,"Nelson, Matthew",2,828616,A
H: Periodic Functions/Matrices Q3,Q3,7,"Nelson, Matthew",2,721571,A
H: Periodic Functions/Matrices Q3,Q3,7,"Nelson, Matthew",7,711017,B
H: Periodic Functions/Matrices Q3,Q3,7,"Nelson, Matthew",11,663094,C
H: Periodic Functions/Matrices Q3,Q3,7,"Nelson, Matthew",10,828864,B
GV: Race & Cultural Studies,Q3,8,"Nelson, Matthew",5,814881,A
GV: Race & Cultural Studies,Q3,8,"Nelson, Matthew",7,818708,B
GV: Race & Cultural Studies,Q3,8,"Nelson, Matthew",21,676003,P
GV: Race & Cultural Studies,Q3,8,"Nelson, Matthew",15,737934,D
GV: Race & Cultural Studies,Q3,8,"Nelson, Matthew",10,724528,B
GV: Race & Cultural Studies,Q3,8,"Nelson, Matthew",5,728015,A
EC: Race/Cultural Stud,Q3,8,"Nelson, Matthew",4,742905,C
EC: Race/Cultural Stud,Q3,8,"Nelson, Matthew",8,768951,B
EC: Race/Cultural Stud,Q3,8,"Nelson, Matthew",16,764739,B
EC: Race/Cultural Stud,Q3,8,"Nelson, Matthew",6,824391,D
EC: Race/Cultural Stud,Q3,8,"Nelson, Matthew",11,723954,B
EC: Race/Cultural Stud,Q3,8,"Nelson, Matthew",11,713632,B
EC: Race/Cultural Stud,Q3,8,"Nelson, Matthew",28,715259,NG
EC: Race/Cultural Stud,Q3,8,"Nelson, Matthew",10,687288,A
EC: Race/Cultural Stud,Q3,8,"Nelson, Matthew",2,651461,A
EC: Race/Cultural Stud,Q3,8,"Nelson, Matthew",24,823043,D
