Course Title,TermCode,Period,Teacher,Abs1,SISNumber,Grade
Advisory,Q4,1,"Nelson, Matthew",26,717118,P
Advisory,Q4,1,"Nelson, Matthew",15,824331,P
Advisory,Q4,1,"Nelson, Matthew",19,762878,P
Advisory,Q4,1,"Nelson, Matthew",26,751480,P
Advisory,Q4,1,"Nelson, Matthew",34,692368,P
Advisory,Q4,1,"Nelson, Matthew",23,816925,P
Advisory,Q4,1,"Nelson, Matthew",24,781178,P
Advisory,Q4,1,"Nelson, Matthew",12,626678,P
Advisory,Q4,1,"Nelson, Matthew",41,692407,P
Advisory,Q4,1,"Nelson, Matthew",14,778807,P
Advisory,Q4,1,"Nelson, Matthew",29,660613,P
Advisory,Q4,1,"Nelson, Matthew",16,660430,P
Advisory,Q4,1,"Nelson, Matthew",24,723954,P
Advisory,Q4,1,"Nelson, Matthew",3,721061,P
Advisory,Q4,1,"Nelson, Matthew",30,823043,NP
Advisory,Q4,1,"Nelson, Matthew",7,825155,P
H: Periodic Functions/Matrices Q4,Q4,2,"Nelson, Matthew",9,776797,A
H: Periodic Functions/Matrices Q4,Q4,2,"Nelson, Matthew",13,762179,A
H: Periodic Functions/Matrices Q4,Q4,2,"Nelson, Matthew",39,773644,B
H: Periodic Functions/Matrices Q4,Q4,2,"Nelson, Matthew",20,670923,B
H: Periodic Functions/Matrices Q4,Q4,2,"Nelson, Matthew",39,656640,D
H: Periodic Functions/Matrices Q4,Q4,2,"Nelson, Matthew",9,647010,C
H: Periodic Functions/Matrices Q4,Q4,2,"Nelson, Matthew",34,774146,D
H: Periodic Functions/Matrices Q4,Q4,2,"Nelson, Matthew",34,768097,D
H: Periodic Functions/Matrices Q4,Q4,2,"Nelson, Matthew",14,764739,C
H: Periodic Functions/Matrices Q4,Q4,2,"Nelson, Matthew",2,674218,A
H: Periodic Functions/Matrices Q4,Q4,2,"Nelson, Matthew",26,751284,C
H: Periodic Functions/Matrices Q4,Q4,2,"Nelson, Matthew",29,618716,D
H: Periodic Functions/Matrices Q4,Q4,3,"Nelson, Matthew",4,714596,A
H: Periodic Functions/Matrices Q4,Q4,3,"Nelson, Matthew",9,688800,A
H: Periodic Functions/Matrices Q4,Q4,3,"Nelson, Matthew",5,677244,D
H: Periodic Functions/Matrices Q4,Q4,3,"Nelson, Matthew",11,612191,B
H: Periodic Functions/Matrices Q4,Q4,3,"Nelson, Matthew",11,515638,D
H: Periodic Functions/Matrices Q4,Q4,3,"Nelson, Matthew",14,689858,B
H: Periodic Functions/Matrices Q4,Q4,3,"Nelson, Matthew",18,682425,B
H: Periodic Functions/Matrices Q4,Q4,3,"Nelson, Matthew",12,626678,C
H: Periodic Functions/Matrices Q4,Q4,3,"Nelson, Matthew",35,649817,C
H: Periodic Functions/Matrices Q4,Q4,3,"Nelson, Matthew",22,691199,A
B: Prob & Statistics,Q4,4,"Nelson, Matthew",16,824331,A
B: Prob & Statistics,Q4,4,"Nelson, Matthew",18,733438,C
B: Prob & Statistics,Q4,4,"Nelson, Matthew",16,821939,B
B: Prob & Statistics,Q4,4,"Nelson, Matthew",8,678465,B
B: Prob & Statistics,Q4,4,"Nelson, Matthew",27,714613,NG
B: Prob & Statistics,Q4,4,"Nelson, Matthew",23,729008,D
B: Prob & Statistics,Q4,4,"Nelson, Matthew",19,821885,A
B: Prob & Statistics,Q4,4,"Nelson, Matthew",23,736800,D
B: Prob & Statistics,Q4,4,"Nelson, Matthew",18,773498,C
B: Prob & Statistics,Q4,4,"Nelson, Matthew",20,714168,D
B: Prob & Statistics,Q4,4,"Nelson, Matthew",26,710171,D
B: Prob & Statistics,Q4,4,"Nelson, Matthew",34,724741,NG
B: Prob & Statistics,Q4,4,"Nelson, Matthew",16,573971,D
B: Prob & Statistics,Q4,4,"Nelson, Matthew",6,777027,C
B: Prob & Statistics,Q4,4,"Nelson, Matthew",24,723553,C
Zines B,Q4,5,"Nelson, Matthew",8,810962,B
Zines B,Q4,5,"Nelson, Matthew",17,824331,A
Zines B,Q4,5,"Nelson, Matthew",7,773644,A
Zines B,Q4,5,"Nelson, Matthew",12,647010,C
Zines B,Q4,5,"Nelson, Matthew",15,661833,D
Zines B,Q4,5,"Nelson, Matthew",19,821885,B
Zines B,Q4,5,"Nelson, Matthew",19,773498,B
Zines B,Q4,5,"Nelson, Matthew",27,724741,D
Zines B,Q4,5,"Nelson, Matthew",23,660613,A
Zines B,Q4,5,"Nelson, Matthew",23,600391,B
Zines B,Q4,5,"Nelson, Matthew",25,818729,D
Zines B,Q4,5,"Nelson, Matthew",23,723553,C
Zines B,Q4,5,"Nelson, Matthew",28,779313,C
Zines B,Q4,5,"Nelson, Matthew",23,570176,B
Zines B,Q4,5,"Nelson, Matthew",19,691199,B
Zines B,Q4,5,"Nelson, Matthew",19,728015,B
Zines B,Q4,5,"Nelson, Matthew",1,712121,A
B: Prob & Statistics,Q4,6,"Nelson, Matthew",15,720886,A
B: Prob & Statistics,Q4,6,"Nelson, Matthew",11,737937,A
B: Prob & Statistics,Q4,6,"Nelson, Matthew",11,726325,D
B: Prob & Statistics,Q4,6,"Nelson, Matthew",11,644723,C
B: Prob & Statistics,Q4,6,"Nelson, Matthew",25,781178,B
B: Prob & Statistics,Q4,6,"Nelson, Matthew",30,728093,B
B: Prob & Statistics,Q4,6,"Nelson, Matthew",24,780437,NG
B: Prob & Statistics,Q4,6,"Nelson, Matthew",23,770552,C
B: Prob & Statistics,Q4,6,"Nelson, Matthew",23,764960,NG
B: Prob & Statistics,Q4,6,"Nelson, Matthew",20,728981,C
B: Prob & Statistics,Q4,6,"Nelson, Matthew",21,702365,NG
B: Prob & Statistics,Q4,6,"Nelson, Matthew",17,723954,D
B: Prob & Statistics,Q4,6,"Nelson, Matthew",0,816956,A
B: Prob & Statistics,Q4,6,"Nelson, Matthew",25,737934,NG
B: Prob & Statistics,Q4,6,"Nelson, Matthew",21,732392,B
B: Prob & Statistics,Q4,6,"Nelson, Matthew",0,751291,A
HE: Urban Hiking,Q4,7,"Nelson, Matthew",29,677197,D
HE: Urban Hiking,Q4,7,"Nelson, Matthew",25,751589,B
HE: Urban Hiking,Q4,7,"Nelson, Matthew",24,749965,D
HE: Urban Hiking,Q4,7,"Nelson, Matthew",11,715259,A
PE: Urban Hiking,Q4,7,"Nelson, Matthew",12,688800,A
PE: Urban Hiking,Q4,7,"Nelson, Matthew",20,751480,B
PE: Urban Hiking,Q4,7,"Nelson, Matthew",15,655970,B
PE: Urban Hiking,Q4,7,"Nelson, Matthew",22,736800,D
PE: Urban Hiking,Q4,7,"Nelson, Matthew",17,647470,A
PE: Urban Hiking,Q4,7,"Nelson, Matthew",9,764739,A
PE: Urban Hiking,Q4,7,"Nelson, Matthew",22,802479,D
PE: Urban Hiking,Q4,7,"Nelson, Matthew",24,626678,D
PE: Urban Hiking,Q4,7,"Nelson, Matthew",25,706389,C
PE: Urban Hiking,Q4,7,"Nelson, Matthew",4,816932,A
PE: Urban Hiking,Q4,7,"Nelson, Matthew",23,764960,B
PE: Urban Hiking,Q4,7,"Nelson, Matthew",9,751284,D
PE: Urban Hiking,Q4,7,"Nelson, Matthew",21,689565,D
