Student,Grade,Term,Year,Coure Title
711337,70.7 C,Q3,2022-2023,H: Period Functions/Matrices Q3
826033,78.1 C,Q3,2022-2023,H: Period Functions/Matrices Q3
711545,90.2 A,Q3,2022-2023,H: Period Functions/Matrices Q3
684890,95.8 A,Q3,2022-2023,H: Period Functions/Matrices Q3
687735,52.6 NG (F)*,Q3,2022-2023,H: Period Functions/Matrices Q3
828616,91.3 A,Q3,2022-2023,H: Period Functions/Matrices Q3
721571,90.8 A,Q3,2022-2023,H: Period Functions/Matrices Q3
711017,83.4 B,Q3,2022-2023,H: Period Functions/Matrices Q3
663094,76.4 C,Q3,2022-2023,H: Period Functions/Matrices Q3
828864,82.8 B,Q3,2022-2023,H: Period Functions/Matrices Q3
648249,79.8 B (C)*,Q4,2022-2023,H: Period Functions/Matrices Q4
680242,43.0 NG (F)*,Q4,2022-2023,H: Period Functions/Matrices Q4
656290,64.6 D,Q4,2022-2023,H: Period Functions/Matrices Q4
781342,94.0 A,Q4,2022-2023,H: Period Functions/Matrices Q4
679761,86.7 B,Q4,2022-2023,H: Period Functions/Matrices Q4
818729,64.0 D,Q4,2022-2023,H: Period Functions/Matrices Q4
713632,88.9 B (B)*,Q4,2022-2023,H: Period Functions/Matrices Q4
715259,90.5 A,Q4,2022-2023,H: Period Functions/Matrices Q4
691442,75.4 C,Q4,2022-2023,H: Period Functions/Matrices Q4
711337,72.4 C,Q4,2022-2023,H: Period Functions/Matrices Q4
826033,90.2 A,Q4,2022-2023,H: Period Functions/Matrices Q4
711545,98.4 A,Q4,2022-2023,H: Period Functions/Matrices Q4
684890,90.3 A,Q4,2022-2023,H: Period Functions/Matrices Q4
687735,71.6 C,Q4,2022-2023,H: Period Functions/Matrices Q4
828616,91.6 A,Q4,2022-2023,H: Period Functions/Matrices Q4
721571,94.3 A,Q4,2022-2023,H: Period Functions/Matrices Q4
711017,91.2 A,Q4,2022-2023,H: Period Functions/Matrices Q4
663094,80.4 B,Q4,2022-2023,H: Period Functions/Matrices Q4
828864,62.4 D,Q4,2022-2023,H: Period Functions/Matrices Q4
809530,91.6 A,Q4,2022-2023,H: Period Functions/Matrices Q4
