Course Title,TermCode,Period,Teacher,Abs1,SISNumber,Grade
Advisory,Q3,1,"Nelson, Matthew",18,550127,P
Advisory,Q3,1,"Nelson, Matthew",12,717118,P
Advisory,Q3,1,"Nelson, Matthew",0,551404,P
Advisory,Q3,1,"Nelson, Matthew",19,677110,P
Advisory,Q3,1,"Nelson, Matthew",21,622102,P
Advisory,Q3,1,"Nelson, Matthew",10,529105,P
Advisory,Q3,1,"Nelson, Matthew",9,622562,P
Advisory,Q3,1,"Nelson, Matthew",6,778650,P
Advisory,Q3,1,"Nelson, Matthew",4,751480,P
Advisory,Q3,1,"Nelson, Matthew",21,450746,P
Advisory,Q3,1,"Nelson, Matthew",11,647770,P
Advisory,Q3,1,"Nelson, Matthew",7,652193,P
Advisory,Q3,1,"Nelson, Matthew",8,586526,P
Advisory,Q3,1,"Nelson, Matthew",19,660613,P
Advisory,Q3,1,"Nelson, Matthew",10,660430,P
Advisory,Q3,1,"Nelson, Matthew",28,656307,I
Advisory,Q3,1,"Nelson, Matthew",28,622623,P
Advisory,Q3,1,"Nelson, Matthew",2,599784,P
Advisory,Q3,1,"Nelson, Matthew",14,657629,I
D: Math Properties & Proofs Q3,Q3,2,"Nelson, Matthew",14,626557,P
D: Math Properties & Proofs Q3,Q3,2,"Nelson, Matthew",12,317752,P
D: Math Properties & Proofs Q3,Q3,2,"Nelson, Matthew",20,571944,I
D: Math Properties & Proofs Q3,Q3,2,"Nelson, Matthew",17,655807,P
D: Math Properties & Proofs Q3,Q3,2,"Nelson, Matthew",6,773644,P
D: Math Properties & Proofs Q3,Q3,2,"Nelson, Matthew",2,612191,P
D: Math Properties & Proofs Q3,Q3,2,"Nelson, Matthew",10,647010,P
D: Math Properties & Proofs Q3,Q3,2,"Nelson, Matthew",20,649611,I
D: Math Properties & Proofs Q3,Q3,2,"Nelson, Matthew",22,656290,P
D: Math Properties & Proofs Q3,Q3,2,"Nelson, Matthew",25,597848,I
D: Math Properties & Proofs Q3,Q3,2,"Nelson, Matthew",5,647770,P
D: Math Properties & Proofs Q3,Q3,2,"Nelson, Matthew",5,801859,P
D: Math Properties & Proofs Q3,Q3,2,"Nelson, Matthew",34,764982,I
D: Math Properties & Proofs Q3,Q3,2,"Nelson, Matthew",18,604668,I
D: Math Properties & Proofs Q3,Q3,2,"Nelson, Matthew",9,600391,P
D: Math Properties & Proofs Q3,Q3,2,"Nelson, Matthew",18,626492,P
D: Math Properties & Proofs Q3,Q3,2,"Nelson, Matthew",22,656307,P
D: Math Properties & Proofs Q3,Q3,2,"Nelson, Matthew",27,797957,I
D: Math Properties & Proofs Q3,Q3,3,"Nelson, Matthew",13,622102,P
D: Math Properties & Proofs Q3,Q3,3,"Nelson, Matthew",1,617650,P
D: Math Properties & Proofs Q3,Q3,3,"Nelson, Matthew",2,647008,P
D: Math Properties & Proofs Q3,Q3,3,"Nelson, Matthew",11,656640,I
D: Math Properties & Proofs Q3,Q3,3,"Nelson, Matthew",23,803434,I
D: Math Properties & Proofs Q3,Q3,3,"Nelson, Matthew",12,622775,I
D: Math Properties & Proofs Q3,Q3,3,"Nelson, Matthew",1,625896,P
D: Math Properties & Proofs Q3,Q3,3,"Nelson, Matthew",12,676906,P
D: Math Properties & Proofs Q3,Q3,3,"Nelson, Matthew",20,450746,I
D: Math Properties & Proofs Q3,Q3,3,"Nelson, Matthew",20,654611,I
D: Math Properties & Proofs Q3,Q3,3,"Nelson, Matthew",20,658926,P
D: Math Properties & Proofs Q3,Q3,3,"Nelson, Matthew",8,586526,P
D: Math Properties & Proofs Q3,Q3,3,"Nelson, Matthew",14,567990,P
D: Math Properties & Proofs Q3,Q3,3,"Nelson, Matthew",6,396865,I
D: Math Properties & Proofs Q3,Q3,3,"Nelson, Matthew",32,649631,I
D: Math Properties & Proofs Q3,Q3,3,"Nelson, Matthew",13,752117,P
D: Math Properties & Proofs Q3,Q3,3,"Nelson, Matthew",14,669379,I
D: Math Properties & Proofs Q3,Q3,3,"Nelson, Matthew",17,751284,P
D: Math Properties & Proofs Q3,Q3,3,"Nelson, Matthew",13,657629,P
B: Prob & Statistics,Q3,4,"Nelson, Matthew",16,717118,I
B: Prob & Statistics,Q3,4,"Nelson, Matthew",11,740796,P
B: Prob & Statistics,Q3,4,"Nelson, Matthew",3,605118,P
B: Prob & Statistics,Q3,4,"Nelson, Matthew",4,768014,P
B: Prob & Statistics,Q3,4,"Nelson, Matthew",1,661833,P
B: Prob & Statistics,Q3,4,"Nelson, Matthew",16,690228,I
B: Prob & Statistics,Q3,4,"Nelson, Matthew",3,751480,P
B: Prob & Statistics,Q3,4,"Nelson, Matthew",19,649699,P
B: Prob & Statistics,Q3,4,"Nelson, Matthew",6,604839,I
B: Prob & Statistics,Q3,4,"Nelson, Matthew",3,803460,P
