Course Title,TermCode,Period,Teacher,Abs1,SISNumber,Grade
Advisory,Q3,1,"Nelson, Matthew",20,717118,P
Advisory,Q3,1,"Nelson, Matthew",13,824331,P
Advisory,Q3,1,"Nelson, Matthew",8,762878,P
Advisory,Q3,1,"Nelson, Matthew",9,802713,P
Advisory,Q3,1,"Nelson, Matthew",6,751480,P
Advisory,Q3,1,"Nelson, Matthew",14,692368,P
Advisory,Q3,1,"Nelson, Matthew",23,816925,P
Advisory,Q3,1,"Nelson, Matthew",10,781178,P
Advisory,Q3,1,"Nelson, Matthew",9,626678,P
Advisory,Q3,1,"Nelson, Matthew",35,692407,P
Advisory,Q3,1,"Nelson, Matthew",10,778807,P
Advisory,Q3,1,"Nelson, Matthew",29,660613,P
Advisory,Q3,1,"Nelson, Matthew",10,660430,P
Advisory,Q3,1,"Nelson, Matthew",6,721061,P
Advisory,Q3,1,"Nelson, Matthew",31,823043,P
H: Periodic Functions/Matrices Q3,Q3,2,"Nelson, Matthew",10,776797,B
H: Periodic Functions/Matrices Q3,Q3,2,"Nelson, Matthew",6,762179,B
H: Periodic Functions/Matrices Q3,Q3,2,"Nelson, Matthew",35,773644,D
H: Periodic Functions/Matrices Q3,Q3,2,"Nelson, Matthew",10,670923,B
H: Periodic Functions/Matrices Q3,Q3,2,"Nelson, Matthew",12,647008,D
H: Periodic Functions/Matrices Q3,Q3,2,"Nelson, Matthew",7,802713,A
H: Periodic Functions/Matrices Q3,Q3,2,"Nelson, Matthew",33,656640,A
H: Periodic Functions/Matrices Q3,Q3,2,"Nelson, Matthew",28,647010,NG
H: Periodic Functions/Matrices Q3,Q3,2,"Nelson, Matthew",36,774146,D
H: Periodic Functions/Matrices Q3,Q3,2,"Nelson, Matthew",20,768951,C
H: Periodic Functions/Matrices Q3,Q3,2,"Nelson, Matthew",32,768097,D
H: Periodic Functions/Matrices Q3,Q3,2,"Nelson, Matthew",0,674218,B
H: Periodic Functions/Matrices Q3,Q3,2,"Nelson, Matthew",25,751284,D
H: Periodic Functions/Matrices Q3,Q3,2,"Nelson, Matthew",21,618716,C
H: Periodic Functions/Matrices Q3,Q3,3,"Nelson, Matthew",24,317752,D
H: Periodic Functions/Matrices Q3,Q3,3,"Nelson, Matthew",1,714596,A
H: Periodic Functions/Matrices Q3,Q3,3,"Nelson, Matthew",5,688800,B
H: Periodic Functions/Matrices Q3,Q3,3,"Nelson, Matthew",4,677244,A
H: Periodic Functions/Matrices Q3,Q3,3,"Nelson, Matthew",8,612191,B
H: Periodic Functions/Matrices Q3,Q3,3,"Nelson, Matthew",4,515638,D
H: Periodic Functions/Matrices Q3,Q3,3,"Nelson, Matthew",38,604839,NG
H: Periodic Functions/Matrices Q3,Q3,3,"Nelson, Matthew",32,682425,D
H: Periodic Functions/Matrices Q3,Q3,3,"Nelson, Matthew",4,823318,B
H: Periodic Functions/Matrices Q3,Q3,3,"Nelson, Matthew",6,626678,C
H: Periodic Functions/Matrices Q3,Q3,3,"Nelson, Matthew",40,649817,NG
B: Prob & Statistics,Q3,4,"Nelson, Matthew",11,824331,A
B: Prob & Statistics,Q3,4,"Nelson, Matthew",25,728189,D
B: Prob & Statistics,Q3,4,"Nelson, Matthew",3,678465,B
B: Prob & Statistics,Q3,4,"Nelson, Matthew",23,714613,B
B: Prob & Statistics,Q3,4,"Nelson, Matthew",22,729008,B
B: Prob & Statistics,Q3,4,"Nelson, Matthew",21,821885,B
B: Prob & Statistics,Q3,4,"Nelson, Matthew",4,714168,B
B: Prob & Statistics,Q3,4,"Nelson, Matthew",24,710171,B
B: Prob & Statistics,Q3,4,"Nelson, Matthew",21,573971,D
B: Prob & Statistics,Q3,4,"Nelson, Matthew",27,723553,D
Zines A,Q3,5,"Nelson, Matthew",11,824331,A
Zines A,Q3,5,"Nelson, Matthew",17,773644,B
Zines A,Q3,5,"Nelson, Matthew",16,802713,B
Zines A,Q3,5,"Nelson, Matthew",26,647010,D
Zines A,Q3,5,"Nelson, Matthew",13,661833,C
Zines A,Q3,5,"Nelson, Matthew",22,821885,B
Zines A,Q3,5,"Nelson, Matthew",6,803417,B
Zines A,Q3,5,"Nelson, Matthew",25,660613,B
Zines A,Q3,5,"Nelson, Matthew",14,600391,B
Zines A,Q3,5,"Nelson, Matthew",18,818729,D
Zines A,Q3,5,"Nelson, Matthew",21,723553,B
Zines A,Q3,5,"Nelson, Matthew",28,729061,D
Zines A,Q3,5,"Nelson, Matthew",19,779313,B
Zines A,Q3,5,"Nelson, Matthew",35,570176,C
Zines A,Q3,5,"Nelson, Matthew",12,728015,A
Zines A,Q3,5,"Nelson, Matthew",26,823043,C
B: Prob & Statistics,Q3,6,"Nelson, Matthew",32,723625,NG
B: Prob & Statistics,Q3,6,"Nelson, Matthew",17,720886,C
B: Prob & Statistics,Q3,6,"Nelson, Matthew",6,737937,A
B: Prob & Statistics,Q3,6,"Nelson, Matthew",2,726325,D
B: Prob & Statistics,Q3,6,"Nelson, Matthew",4,644723,C
B: Prob & Statistics,Q3,6,"Nelson, Matthew",12,781178,A
B: Prob & Statistics,Q3,6,"Nelson, Matthew",18,728093,B
B: Prob & Statistics,Q3,6,"Nelson, Matthew",9,770552,C
B: Prob & Statistics,Q3,6,"Nelson, Matthew",9,764960,D
B: Prob & Statistics,Q3,6,"Nelson, Matthew",11,728981,C
B: Prob & Statistics,Q3,6,"Nelson, Matthew",10,702365,NG
B: Prob & Statistics,Q3,6,"Nelson, Matthew",0,816956,A
B: Prob & Statistics,Q3,6,"Nelson, Matthew",21,737934,C
B: Prob & Statistics,Q3,6,"Nelson, Matthew",14,732392,B
B: Prob & Statistics,Q3,6,"Nelson, Matthew",36,801355,NG
B: Prob & Statistics,Q3,6,"Nelson, Matthew",0,751291,A
HE: Urban Hiking,Q3,7,"Nelson, Matthew",14,677197,C
HE: Urban Hiking,Q3,7,"Nelson, Matthew",27,749965,D
HE: Urban Hiking,Q3,7,"Nelson, Matthew",7,715259,A
PE: Urban Hiking,Q3,7,"Nelson, Matthew",4,688800,A
PE: Urban Hiking,Q3,7,"Nelson, Matthew",20,680242,NG
PE: Urban Hiking,Q3,7,"Nelson, Matthew",13,751480,B
PE: Urban Hiking,Q3,7,"Nelson, Matthew",31,597848,D
PE: Urban Hiking,Q3,7,"Nelson, Matthew",9,647470,A
PE: Urban Hiking,Q3,7,"Nelson, Matthew",27,802479,A
PE: Urban Hiking,Q3,7,"Nelson, Matthew",16,626678,D
PE: Urban Hiking,Q3,7,"Nelson, Matthew",19,706389,B
PE: Urban Hiking,Q3,7,"Nelson, Matthew",9,816932,A
PE: Urban Hiking,Q3,7,"Nelson, Matthew",9,764960,A
PE: Urban Hiking,Q3,7,"Nelson, Matthew",25,751284,D
PE: Urban Hiking,Q3,7,"Nelson, Matthew",20,689565,D
