Course Title,TermCode,Period,Teacher,Abs1,SISNumber,Grade
Advisory,Q1,1,"Nelson, Matthew",23,717118,P
Advisory,Q1,1,"Nelson, Matthew",22,692368,P
Advisory,Q1,1,"Nelson, Matthew",25,816925,P
Advisory,Q1,1,"Nelson, Matthew",32,728288,P
Advisory,Q1,1,"Nelson, Matthew",15,778807,P
Advisory,Q1,1,"Nelson, Matthew",1,778724,P
Advisory,Q1,1,"Nelson, Matthew",26,660613,P
Advisory,Q1,1,"Nelson, Matthew",6,712031,P
Advisory,Q1,1,"Nelson, Matthew",17,723954,P
Advisory,Q1,1,"Nelson, Matthew",3,721061,P
Advisory,Q1,1,"Nelson, Matthew",17,779657,P
Advisory,Q1,1,"Nelson, Matthew",37,823043,P
Advisory,Q1,1,"Nelson, Matthew",1,825155,P
Data Science and Society,Q1,2,"Nelson, Matthew",3,678465,D
Data Science and Society,Q1,2,"Nelson, Matthew",4,684890,A
Data Science and Society,Q1,2,"Nelson, Matthew",11,805032,C
Data Science and Society,Q1,2,"Nelson, Matthew",2,656290,A
Data Science and Society,Q1,2,"Nelson, Matthew",27,687735,D
Data Science and Society,Q1,2,"Nelson, Matthew",3,674218,B
Data Science and Society,Q1,2,"Nelson, Matthew",8,825365,B
Data Science and Society,Q1,2,"Nelson, Matthew",8,800173,C
Data Science and Society,Q1,2,"Nelson, Matthew",19,691442,D
Data Science and Society,Q1,2,"Nelson, Matthew",23,729676,D
Data Science and Society,Q1,2,"Nelson, Matthew",13,689565,B
LA: Creative Writing,Q1,3,"Nelson, Matthew",6,717620,A
LA: Creative Writing,Q1,3,"Nelson, Matthew",10,670923,B
LA: Creative Writing,Q1,3,"Nelson, Matthew",12,661833,B
LA: Creative Writing,Q1,3,"Nelson, Matthew",39,767691,NG
LA: Creative Writing,Q1,3,"Nelson, Matthew",25,687735,A
LA: Creative Writing,Q1,3,"Nelson, Matthew",13,711212,B
LA: Creative Writing,Q1,3,"Nelson, Matthew",9,728288,A
LA: Creative Writing,Q1,3,"Nelson, Matthew",3,674218,B
LA: Creative Writing,Q1,3,"Nelson, Matthew",26,762595,C
LA: Creative Writing,Q1,3,"Nelson, Matthew",23,660613,B
LA: Creative Writing,Q1,3,"Nelson, Matthew",13,818729,C
LA: Creative Writing,Q1,3,"Nelson, Matthew",7,691585,B
LA: Creative Writing,Q1,3,"Nelson, Matthew",10,723954,D
LA: Creative Writing,Q1,3,"Nelson, Matthew",4,721061,A
LA: Creative Writing,Q1,3,"Nelson, Matthew",28,605399,D
G: Analytical Geometry Q1,Q1,4,"Nelson, Matthew",23,717118,D
G: Analytical Geometry Q1,Q1,4,"Nelson, Matthew",16,768014,D
G: Analytical Geometry Q1,Q1,4,"Nelson, Matthew",32,680242,NG
G: Analytical Geometry Q1,Q1,4,"Nelson, Matthew",13,661833,D
G: Analytical Geometry Q1,Q1,4,"Nelson, Matthew",0,656290,A
G: Analytical Geometry Q1,Q1,4,"Nelson, Matthew",15,703239,D
G: Analytical Geometry Q1,Q1,4,"Nelson, Matthew",12,768951,C
G: Analytical Geometry Q1,Q1,4,"Nelson, Matthew",11,818729,D
G: Analytical Geometry Q1,Q1,4,"Nelson, Matthew",4,715259,A
G: Analytical Geometry Q1,Q1,4,"Nelson, Matthew",6,714062,B
G: Analytical Geometry Q1,Q1,4,"Nelson, Matthew",5,711337,D
Zines A,Q1,6,"Nelson, Matthew",5,749499,C
Zines A,Q1,6,"Nelson, Matthew",11,737937,A
Zines A,Q1,6,"Nelson, Matthew",3,733363,A
Zines A,Q1,6,"Nelson, Matthew",23,719215,D
Zines A,Q1,6,"Nelson, Matthew",14,693432,A
Zines A,Q1,6,"Nelson, Matthew",20,676003,C
Zines A,Q1,6,"Nelson, Matthew",0,778724,A
Zines A,Q1,6,"Nelson, Matthew",14,734581,A
Zines A,Q1,6,"Nelson, Matthew",21,670990,A
Zines A,Q1,6,"Nelson, Matthew",6,825365,A
Zines A,Q1,6,"Nelson, Matthew",19,777027,D
Zines A,Q1,6,"Nelson, Matthew",4,721061,B
Zines A,Q1,6,"Nelson, Matthew",31,605399,D
Zines A,Q1,6,"Nelson, Matthew",5,688149,C
Zines A,Q1,6,"Nelson, Matthew",24,729676,D
Zines A,Q1,6,"Nelson, Matthew",7,711337,B
G: Analytical Geometry Q1,Q1,7,"Nelson, Matthew",13,648249,A
G: Analytical Geometry Q1,Q1,7,"Nelson, Matthew",3,692103,C
G: Analytical Geometry Q1,Q1,7,"Nelson, Matthew",23,687735,D
G: Analytical Geometry Q1,Q1,7,"Nelson, Matthew",2,828616,A
G: Analytical Geometry Q1,Q1,7,"Nelson, Matthew",2,721571,A
G: Analytical Geometry Q1,Q1,7,"Nelson, Matthew",17,800173,D
Zines A,Q1,8,"Nelson, Matthew",9,736032,A
Zines A,Q1,8,"Nelson, Matthew",14,826730,B
Zines A,Q1,8,"Nelson, Matthew",5,750463,A
Zines A,Q1,8,"Nelson, Matthew",10,805032,A
Zines A,Q1,8,"Nelson, Matthew",4,763282,B
Zines A,Q1,8,"Nelson, Matthew",11,728288,B
Zines A,Q1,8,"Nelson, Matthew",12,768446,A
Zines A,Q1,8,"Nelson, Matthew",2,750306,B
Zines A,Q1,8,"Nelson, Matthew",17,824391,B
Zines A,Q1,8,"Nelson, Matthew",11,573971,C
Zines A,Q1,8,"Nelson, Matthew",5,750620,B
Zines A,Q1,8,"Nelson, Matthew",15,728981,C
Zines A,Q1,8,"Nelson, Matthew",2,712031,B
Zines A,Q1,8,"Nelson, Matthew",2,749978,B
Zines A,Q1,8,"Nelson, Matthew",24,737934,D
