Course Title,TermCode,Period,Teacher,Abs1,SISNumber,Grade
Advisory,Q2,1,"Nelson, Matthew",17,717118,P
Advisory,Q2,1,"Nelson, Matthew",11,762878,P
Advisory,Q2,1,"Nelson, Matthew",30,677110,P
Advisory,Q2,1,"Nelson, Matthew",27,622562,P
Advisory,Q2,1,"Nelson, Matthew",30,617201,P
Advisory,Q2,1,"Nelson, Matthew",6,751480,P
Advisory,Q2,1,"Nelson, Matthew",19,816925,P
Advisory,Q2,1,"Nelson, Matthew",25,727705,P
Advisory,Q2,1,"Nelson, Matthew",12,781178,P
Advisory,Q2,1,"Nelson, Matthew",18,626678,P
Advisory,Q2,1,"Nelson, Matthew",28,692407,P
Advisory,Q2,1,"Nelson, Matthew",9,778807,P
Advisory,Q2,1,"Nelson, Matthew",19,660613,P
Advisory,Q2,1,"Nelson, Matthew",13,660430,P
Advisory,Q2,1,"Nelson, Matthew",12,721061,P
Advisory,Q2,1,"Nelson, Matthew",13,823043,P
G: Analytical Geometry Q2,Q2,2,"Nelson, Matthew",15,655849,A
G: Analytical Geometry Q2,Q2,2,"Nelson, Matthew",6,762179,A
G: Analytical Geometry Q2,Q2,2,"Nelson, Matthew",25,773644,C
G: Analytical Geometry Q2,Q2,2,"Nelson, Matthew",4,670923,A
G: Analytical Geometry Q2,Q2,2,"Nelson, Matthew",8,647008,C
G: Analytical Geometry Q2,Q2,2,"Nelson, Matthew",27,656640,B
G: Analytical Geometry Q2,Q2,2,"Nelson, Matthew",9,647010,A
G: Analytical Geometry Q2,Q2,2,"Nelson, Matthew",16,774146,C
G: Analytical Geometry Q2,Q2,2,"Nelson, Matthew",30,768097,C
G: Analytical Geometry Q2,Q2,2,"Nelson, Matthew",31,751284,C
G: Analytical Geometry Q2,Q2,2,"Nelson, Matthew",31,570176,C
G: Analytical Geometry Q2,Q2,2,"Nelson, Matthew",9,716407,B
G: Analytical Geometry Q2,Q2,2,"Nelson, Matthew",15,618716,C
G: Analytical Geometry Q2,Q2,3,"Nelson, Matthew",24,317752,A
G: Analytical Geometry Q2,Q2,3,"Nelson, Matthew",18,658563,D
G: Analytical Geometry Q2,Q2,3,"Nelson, Matthew",11,612191,A
G: Analytical Geometry Q2,Q2,3,"Nelson, Matthew",2,515638,C
G: Analytical Geometry Q2,Q2,3,"Nelson, Matthew",20,811707,A
G: Analytical Geometry Q2,Q2,3,"Nelson, Matthew",33,604338,NG
G: Analytical Geometry Q2,Q2,3,"Nelson, Matthew",22,604839,NG
G: Analytical Geometry Q2,Q2,3,"Nelson, Matthew",4,823318,B
G: Analytical Geometry Q2,Q2,3,"Nelson, Matthew",13,626678,B
G: Analytical Geometry Q2,Q2,3,"Nelson, Matthew",29,649817,A
G: Analytical Geometry Q2,Q2,4,"Nelson, Matthew",7,776797,A
G: Analytical Geometry Q2,Q2,4,"Nelson, Matthew",11,714596,A
G: Analytical Geometry Q2,Q2,4,"Nelson, Matthew",25,617201,B
G: Analytical Geometry Q2,Q2,4,"Nelson, Matthew",12,655970,A
G: Analytical Geometry Q2,Q2,4,"Nelson, Matthew",28,597848,D
G: Analytical Geometry Q2,Q2,4,"Nelson, Matthew",27,682425,D
G: Analytical Geometry Q2,Q2,4,"Nelson, Matthew",10,649581,A
G: Analytical Geometry Q2,Q2,4,"Nelson, Matthew",5,778807,A
G: Analytical Geometry Q2,Q2,4,"Nelson, Matthew",18,658084,C
G: Analytical Geometry Q2,Q2,4,"Nelson, Matthew",10,600391,A
G: Analytical Geometry Q2,Q2,4,"Nelson, Matthew",11,749965,A
G: Analytical Geometry Q2,Q2,4,"Nelson, Matthew",23,538524,B
G: Analytical Geometry Q2,Q2,4,"Nelson, Matthew",3,691442,B
Zines B,Q2,5,"Nelson, Matthew",16,717118,A
Zines B,Q2,5,"Nelson, Matthew",11,714596,D
Zines B,Q2,5,"Nelson, Matthew",10,762878,A
Zines B,Q2,5,"Nelson, Matthew",30,655807,C
Zines B,Q2,5,"Nelson, Matthew",7,670923,A
Zines B,Q2,5,"Nelson, Matthew",22,656640,A
