Course Title,TermCode,Period,Teacher,Abs1,SISNumber,Grade
Advisory,Q2,1,"Nelson, Matthew",25,717118,NP
Advisory,Q2,1,"Nelson, Matthew",15,712371,P
Advisory,Q2,1,"Nelson, Matthew",7,728189,P
Advisory,Q2,1,"Nelson, Matthew",26,692368,P
Advisory,Q2,1,"Nelson, Matthew",33,800850,NP
Advisory,Q2,1,"Nelson, Matthew",30,816925,NP
Advisory,Q2,1,"Nelson, Matthew",39,728288,NP
Advisory,Q2,1,"Nelson, Matthew",1,778724,P
Advisory,Q2,1,"Nelson, Matthew",27,660613,P
Advisory,Q2,1,"Nelson, Matthew",5,712031,P
Advisory,Q2,1,"Nelson, Matthew",30,723954,NP
Advisory,Q2,1,"Nelson, Matthew",9,713632,P
Advisory,Q2,1,"Nelson, Matthew",1,721061,P
Advisory,Q2,1,"Nelson, Matthew",3,779657,P
Advisory,Q2,1,"Nelson, Matthew",33,823043,NP
Advisory,Q2,1,"Nelson, Matthew",5,825155,P
Data Science and Society,Q2,2,"Nelson, Matthew",34,762878,P
Data Science and Society,Q2,2,"Nelson, Matthew",31,727843,D
Data Science and Society,Q2,2,"Nelson, Matthew",4,678465,B
Data Science and Society,Q2,2,"Nelson, Matthew",3,684890,A
Data Science and Society,Q2,2,"Nelson, Matthew",21,805032,B
Data Science and Society,Q2,2,"Nelson, Matthew",8,656290,A
Data Science and Society,Q2,2,"Nelson, Matthew",40,687735,D
Data Science and Society,Q2,2,"Nelson, Matthew",2,795442,B
Data Science and Society,Q2,2,"Nelson, Matthew",33,800850,C
Data Science and Society,Q2,2,"Nelson, Matthew",12,827709,C
Data Science and Society,Q2,2,"Nelson, Matthew",4,674218,B
Data Science and Society,Q2,2,"Nelson, Matthew",29,825365,D
Data Science and Society,Q2,2,"Nelson, Matthew",15,800173,C
Data Science and Society,Q2,2,"Nelson, Matthew",8,810922,B
Data Science and Society,Q2,2,"Nelson, Matthew",19,705259,C
Data Science and Society,Q2,2,"Nelson, Matthew",13,691442,A
LA: Creative Writing,Q2,3,"Nelson, Matthew",1,717620,A
LA: Creative Writing,Q2,3,"Nelson, Matthew",8,661833,C
LA: Creative Writing,Q2,3,"Nelson, Matthew",37,687735,C
LA: Creative Writing,Q2,3,"Nelson, Matthew",18,711212,C
LA: Creative Writing,Q2,3,"Nelson, Matthew",25,727812,D
LA: Creative Writing,Q2,3,"Nelson, Matthew",25,728288,D
LA: Creative Writing,Q2,3,"Nelson, Matthew",4,674218,A
LA: Creative Writing,Q2,3,"Nelson, Matthew",0,778724,A
LA: Creative Writing,Q2,3,"Nelson, Matthew",27,660613,D
LA: Creative Writing,Q2,3,"Nelson, Matthew",29,818729,D
